iter	Passed	Remaining
1547	17233	16164
1548	17243	16152
1549	17254	16140
1550	17264	16129
1551	17274	16117
1552	17284	16104
1553	17294	16092
1554	17305	16081
1555	17332	16085
1556	17358	16087
1557	17378	16084
1558	17396	16079
1559	17408	16069
1560	17421	16059
1561	17431	16047
1562	17442	16036
1563	17453	16024
1564	17464	16013
1565	17474	16001
1566	17485	15990
1567	17496	15978
1568	17506	15967
1569	17516	15954
1570	17526	15942
1571	17539	15933
1572	17551	15922
1573	17562	15911
1574	17573	15899
1575	17584	15888
1576	17594	15876
1577	17604	15864
1578	17614	15851
1579	17623	15839
1580	17634	15827
1581	17643	15814
1582	17656	15804
1583	17666	15792
1584	17677	15781
1585	17687	15769
1586	17697	15757
1587	17707	15745
1588	17719	15734
1589	17729	15722
1590	17740	15710
1591	17751	15699
1592	17761	15687
1593	17771	15675
1594	17781	15663
1595	17792	15651
1596	17802	15639
1597	17811	15627
1598	17821	15614
1599	17831	15602
1600	17841	15590
1601	17851	15578
1602	17861	15565
1603	17871	15554
1604	17883	15543
1605	17895	15532
1606	17906	15521
1607	17917	15510
1608	17928	15499
1609	17938	15487
1610	17950	15476
1611	17961	15465
1612	17971	15453
1613	17981	15441
1614	17991	15429
1615	18002	15417
1616	18012	15406
1617	18022	15393
1618	18035	15383
1619	18046	15373
1620	18057	15361
1621	18069	15351
1622	18079	15339
1623	18090	15327
1624	18101	15316
1625	18111	15304
1626	18122	15293
1627	18132	15281
1628	18143	15269
1629	18153	15257
1630	18163	15246
1631	18174	15234
1632	18185	15223
1633	18196	15211
1634	18206	15200
1635	18217	15188
1636	18228	15177
1637	18239	15165
1638	18249	15154
1639	18260	15142
1640	18271	15131
1641	18282	15120
1642	18294	15109
1643	18305	15098
1644	18315	15086
1645	18326	15075
1646	18336	15063
1647	18349	15053
1648	18360	15042
1649	18370	15030
1650	18381	15018
1651	18392	15008
1652	18404	14997
1653	18414	14985
1654	18426	14974
1655	18437	14963
1656	18447	14952
1657	18458	14940
1658	18468	14928
1659	18479	14917
1660	18491	14906
1661	18501	14894
1662	18511	14882
1663	18522	14871
1664	18532	14859
1665	18544	14849
1666	18563	14843
1667	18573	14832
1668	18583	14820
